                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.93288,                 0.6606,                 1.0395,                0.98703,                 0.8307,                0.91367,                0.74475,                0.84556,                0.53206,                 1.0019,             0.00060561,             0.00060561,             0.00060561
                     48,                0.89636,                0.62589,                 1.0072,                0.98786,                0.86403,                 0.9294,                0.76418,                 0.8431,                0.52459,                 1.0025,             0.00060326,             0.00060326,             0.00060326
                     49,                0.96041,                0.66821,                 1.0619,                 0.9837,                0.87475,                0.93038,                0.76273,                0.87085,                0.53849,                  1.003,              0.0006009,              0.0006009,              0.0006009
                     50,                0.91689,                0.64158,                  1.021,                0.98721,                0.90692,                0.95111,                0.78108,                0.85979,                0.52573,                0.99642,             0.00059855,             0.00059855,             0.00059855
                     51,                0.86448,                0.61118,                 1.0225,                0.98341,                 0.7791,                0.88591,                0.74712,                0.82224,                0.53515,                0.98958,             0.00059619,             0.00059619,             0.00059619
                     52,                0.90632,                0.61781,                 1.0085,                0.99145,                0.92565,                0.95868,                0.79531,                0.81511,                0.50316,                 0.9754,             0.00059383,             0.00059383,             0.00059383
                     53,                0.92229,                 0.6318,                  1.041,                0.99714,                0.92424,                0.95945,                0.80313,                0.79528,                0.49355,                0.96357,             0.00059148,             0.00059148,             0.00059148
                     54,                0.84934,                0.58884,                 1.0072,                 0.9931,                0.89433,                0.94474,                0.79227,                0.79102,                0.50504,                0.97052,             0.00058912,             0.00058912,             0.00058912
                     55,                 0.8961,                 0.6124,                  1.009,                 0.9965,                0.92984,                0.96219,                0.81734,                0.78176,                0.49435,                 0.9584,             0.00058677,             0.00058677,             0.00058677
                     56,                  0.887,                0.62328,                 1.0321,                0.99754,                0.91285,                0.95409,                0.81007,                0.76079,                0.49141,                0.96224,             0.00058441,             0.00058441,             0.00058441
                     57,                 0.8454,                0.60218,                 1.0081,                0.98764,                0.94596,                0.96948,                0.82118,                0.74896,                0.48447,                0.96067,             0.00058205,             0.00058205,             0.00058205
                     58,                0.86484,                0.58823,                 1.0073,                0.98429,                0.92105,                0.95534,                0.81826,                0.74781,                 0.4787,                 0.9578,              0.0005797,              0.0005797,              0.0005797
                     59,                0.87573,                0.56418,                  1.022,                0.97212,                0.90235,                0.94598,                 0.7911,                0.77784,                0.50325,                0.98485,             0.00057734,             0.00057734,             0.00057734
                     60,                0.87801,                0.60111,                  1.044,                0.98535,                0.91778,                0.95312,                0.80707,                0.76476,                0.48691,                 0.9674,             0.00057498,             0.00057498,             0.00057498
                     61,                0.84182,                0.58607,                 1.0072,                  0.985,                0.90989,                0.94452,                 0.8055,                0.74471,                  0.484,                 0.9574,             0.00057263,             0.00057263,             0.00057263
                     62,                0.85868,                0.61858,                 1.0216,                0.98966,                0.92741,                0.96116,                0.80846,                0.77903,                0.48703,                0.97194,             0.00057027,             0.00057027,             0.00057027
                     63,                0.82742,                0.55663,                 1.0011,                0.98424,                0.89401,                0.94041,                0.79873,                 0.7631,                0.49675,                0.97226,             0.00056792,             0.00056792,             0.00056792
                     64,                0.80803,                0.55158,                 1.0134,                0.96922,                0.87475,                0.93067,                0.79022,                0.75092,                0.51987,                0.96203,             0.00056556,             0.00056556,             0.00056556
                     65,                0.84283,                0.56082,                0.99716,                0.99302,                0.90891,                0.95107,                0.80061,                0.77392,                 0.4773,                0.97698,              0.0005632,              0.0005632,              0.0005632
                     66,                0.86336,                0.56148,                 1.0117,                0.99389,                0.91592,                0.95237,                0.80623,                0.75492,                0.46589,                0.95696,             0.00056085,             0.00056085,             0.00056085
                     67,                0.85985,                 0.5583,                0.98348,                0.98846,                0.92029,                0.95743,                0.82087,                0.73807,                0.46278,                0.95227,             0.00055849,             0.00055849,             0.00055849
                     68,                0.81843,                0.54192,                0.99171,                0.99333,                0.93749,                0.96628,                0.82454,                0.73663,                0.45568,                0.94156,             0.00055613,             0.00055613,             0.00055613
